strain	clade
USA/WI-74/2020	G
USA/WI-92/2020	G
USA/WI-83/2020	G
USA/WI-75/2020	G
USA/WI-93/2020	G
USA/WI-94/2020	G
USA/WI-87/2020	G
USA/WI-52/2020	G
USA/WI-63/2020	G
USA/WI-86/2020	G
USA/WI-99/2020	G
USA/WI-53/2020	G
USA/WI-49/2020	G
USA/WI-60/2020	G
USA/WI-80/2020	G
USA/WI-81/2020	G
USA/WI-82/2020	G
Wales/PHW1/2020	G
USA/WI-78/2020	G
USA/WI-79/2020	G
USA/WI-54/2020	G
USA/WI-58/2020	G
USA/WI-89/2020	G
USA/WI-57/2020	G
USA/WI-64/2020	G
USA/WI-85/2020	G
USA/WI-90/2020	G
USA/WI-95/2020	G
USA/WI-65/2020	G
USA/WI-97/2020	G
Wales/PHW09/2020	G
Wales/PHW21/2020	G
Wales/PHW10/2020	G
USA/WI-84/2020	G
Wales/PHW17/2020	G
Wales/PHW05/2020	G
Wales/PHW03/2020	G
Wales/PHW07/2020	G
Wales/PHW18/2020	G
Wales/PHW2/2020	G
Wales/PHW04/2020	G
USA/WI-55/2020	D
Wales/PHW26/2020	D
Wales/PHW29/2020	D
Wales/PHW32/2020	D
Wales/PHW37/2020	D
USA/WI-59/2020	D
USA/WI-76/2020	D
Wales/PHW35/2020	D
Wales/PHW38/2020	D
USA/WI-50/2020	D
USA/WI-51/2020	D
USA/WI-66/2020	D
USA/WI-67/2020	D
USA/WI-70/2020	D
USA/WI-71/2020	D
USA/WI-73/2020	D
USA/WI-88/2020	D
USA/WI-61/2020	D
USA/WI-69/2020	D
USA/WI-77/2020	D
USA/WI-96/2020	D
USA/WI-91/2020	D
Vietnam/39607/2020	G
Wales/PHWC-23DE2/2020	G
Vietnam/CM295/2020	G
Vietnam/CM296/2020	G
Wales/PHWC-23AEB/2020	G
Wales/PHWC-23E85/2020	G
Wales/PHWC-23B9D/2020	G
Wales/PHWC-23AFA/2020	G
Wales/PHWC-23B60/2020	G
Wales/PHWC-23ACD/2020	G
Wales/PHWC-23B51/2020	G
Wales/PHWC-23BAC/2020	G
Uruguay/UY-1/2020	D
Uruguay/UY-2/2020	D
Uruguay/UY-4/2020	D
Uruguay/UY-9/2020	D
Uruguay/UY-5/2020	D
Uruguay/UY-6/2020	D
Vietnam/38142/2020	D
Vietnam/VR03-38142/2020	D
Wales/PHW33/2020	G
Wales/PHWC-23A81/2020	D
Wales/PHWC-23E94/2020	D
Wales/PHWC-23BD9/2020	G
Wales/PHWC-23D4C/2020	G
USA/WI-GMF-00441/2020	G
Wales/PHWC-23CF4/2020	D
Wales/PHWC-23EA3/2020	D
Wales/PHWC-23D88/2020	D
Wales/PHWC-23E3A/2020	G
Wales/PHWC-23DB5/2020	D
Wales/PHWC-23E1C/2020	G
Wales/PHWC-23ADC/2020	G
Wales/PHWC-23D1F/2020	D
USA/WI-GMF-00928/2020	G
Wales/PHWC-23B24/2020	G
USA/WI-GMF-00707/2020	G
USA/WI-GMF-00049/2020	D
Australia/VIC667/2020	D
Australia/VIC659/2020	D
Australia/VIC727/2020	D
Australia/VIC606/2020	G
Australia/VIC611/2020	G
Australia/VIC782/2020	G
Australia/VIC739/2020	G
Australia/VIC665/2020	G
Australia/VIC755/2020	G
Australia/VIC617/2020	G
Australia/VIC707/2020	G
Australia/VIC732/2020	G
Australia/VIC639/2020	G
Australia/VIC620/2020	G
Australia/VIC622/2020	G
Australia/VIC708/2020	G
Australia/VIC635/2020	G
Australia/VIC652/2020	G
Australia/VIC682/2020	G
Australia/VIC760/2020	G
Australia/VIC673/2020	G
Australia/VIC706/2020	G
Australia/VIC628/2020	G
Australia/VIC735/2020	G
Australia/VIC737/2020	G
Australia/VIC797/2020	G
Australia/VIC785/2020	G
Australia/VIC787/2020	G
Australia/VIC794/2020	G
Australia/VIC803/2020	G
Australia/VIC802/2020	G
Australia/VIC793/2020	G
Australia/VIC655/2020	G
Australia/VIC677/2020	G
Australia/VIC695/2020	G
Australia/VIC798/2020	G
Australia/VIC603/2020	G
Australia/VIC674/2020	G
Australia/VIC764/2020	G
Australia/VIC754/2020	G
Australia/VIC745/2020	G
Australia/VIC672/2020	G
Australia/VIC696/2020	G
Australia/VIC731/2020	G
Australia/VIC780/2020	G
Australia/VIC744/2020	G
Australia/VIC766/2020	D
Australia/VIC725/2020	G
Australia/VIC748/2020	G
Australia/VIC62/2020	G
Australia/VIC75/2020	G
Australia/VIC629/2020	D
Australia/VIC771/2020	D
Australia/VIC645/2020	D
Australia/VIC812/2020	D
Australia/VIC747/2020	D
Australia/VIC630/2020	D
Australia/VIC689/2020	G
Australia/VIC660/2020	D
Australia/VIC668/2020	D
Australia/VIC697/2020	D
Australia/VIC788/2020	D
Australia/VIC79/2020	D
Australia/VIC80/2020	D
Australia/VIC680/2020	D
Australia/VIC681/2020	D
Australia/VIC753/2020	D
Australia/VIC808/2020	D
Australia/VIC614/2020	D
Australia/VIC662/2020	D
Australia/VIC687/2020	D
Australia/VIC733/2020	D
Australia/VIC741/2020	D
Australia/VIC68/2020	D
Australia/VIC60/2020	D
Australia/VIC599/2020	D
Australia/VIC649/2020	D
Australia/VIC656/2020	D
Australia/VIC791/2020	D
Australia/VIC676/2020	D
Australia/VIC777/2020	D
Australia/VIC765/2020	G
Australia/VIC729/2020	G
Australia/VIC800/2020	G
Australia/VIC678/2020	D
Australia/VIC773/2020	D
Australia/VIC720/2020	G
Australia/VIC762/2020	G
Australia/VIC776/2020	G
Australia/VIC804/2020	G
Australia/VIC768/2020	D
Australia/VIC751/2020	D
Australia/VIC615/2020	D
Australia/VIC627/2020	D
Australia/VIC716/2020	D
Australia/VIC749/2020	D
Australia/VIC767/2020	D
Australia/VIC810/2020	D
Australia/VIC663/2020	D
Australia/VIC779/2020	D
Australia/VIC679/2020	D
Australia/VIC612/2020	G
Australia/VIC640/2020	G
Australia/VIC705/2020	G
Australia/VIC709/2020	D
Australia/VIC604/2020	G
Australia/VIC801/2020	G
Australia/VIC621/2020	G
Australia/VIC805/2020	G
Australia/VIC809/2020	G
Australia/VIC607/2020	G
Australia/VIC609/2020	G
Australia/VIC713/2020	G
Australia/VIC633/2020	G
Australia/VIC704/2020	G
Australia/VIC670/2020	G
Australia/VIC774/2020	G
Australia/VIC700/2020	G
Australia/VIC799/2020	G
Australia/VIC806/2020	G
Australia/VIC722/2020	G
Australia/VIC653/2020	G
Australia/VIC746/2020	D
Australia/VIC76/2020	D
Australia/VIC77/2020	D
Australia/VIC742/2020	G
Australia/VIC819/2020	D
Australia/VIC669/2020	D
Australia/VIC743/2020	G
Australia/VIC816/2020	G
Australia/VIC757/2020	G
Australia/VIC789/2020	G
Australia/VIC790/2020	G
Australia/VIC815/2020	G
Australia/VIC613/2020	G
Australia/VIC730/2020	G
Australia/VIC711/2020	D
Australia/VIC684/2020	G
Australia/VIC616/2020	G
Australia/VIC63/2020	G
Australia/VIC721/2020	D
Australia/VIC761/2020	G
Australia/VIC814/2020	G
Australia/VIC763/2020	D
Australia/VIC601/2020	D
Australia/VIC654/2020	G
Australia/VIC813/2020	D
Australia/VIC818/2020	D
Australia/VIC642/2020	G
Australia/VIC643/2020	G
Latvia/0003/2020	D
Italy/CDG1/2020	G
Ireland/Cork2/2020	D
Latvia/0001/2020	G
India/GBRC1/2020	G
India/GBRC1s/2020	G
Ireland/22901/2020	D
Ireland/24042/2020	D
Italy/SPL1/2020	D
Ireland/21023/2020	G
Ireland/21145/2020	G
Ireland/24052/2020	G
Ireland/Dublin-22428/2020	G
Latvia/0006/2020	G
Italy/6193/2020	G
Ireland/Dublin-22361/2020	G
Italy/TE6195/2020	G
Kuwait/KU008/2020	G
Latvia/0005/2020	G
Italy/FVG-ICGEB_S1/2020	G
Italy/FVG-ICGEB_S5/2020	G
Korea/KCDC2004/2020	D
Korea/KCDC2007/2020	D
Italy/TE4880/2020	G
Italy/TE4953/2020	G
Jian/JX129/2020	D
Jiujiang/JX22/2020	D
Jian/JX169/2020	D
Jiangsu/IVDC-JS-001/2020	D
Jiangsu/JS01/2020	D
Jiangsu/JS03/2020	D
Jiangxi/IVDC-JX-002/2020	D
Jiangsu/JS02/2020	D
Latvia/0004/2020	D
Korea/KCDC2018/2020	D
Korea/KCDC2006/2020	D
Korea/KCDC2009/2020	D
Korea/KCDC2011/2020	D
Korea/KCDC2010/2020	D
Korea/KCDC2001/2020	D
Korea/KCDC2005/2020	D
Korea/KCDC2015/2020	D
Korea/KCDC2012/2020	D
Korea/KCDC2013/2020	D
Korea/KCDC2014/2020	D
India/1135/2020	G
India/763/2020	G
India/770/2020	G
India/773/2020	G
India/777/2020	G
India/781/2020	G
India/3118/2020	G
India/3239/2020	G
Ireland/Dublin-19072/2020	G
Ireland/Limerick-19933/2020	G
Ireland/Limerick-19935/2020	G
Ireland/Limerick-19934/2020	G
Japan/P1/2020	G
Japan/P2-2/2020	G
Japan/P4-4/2020	G
Japan/P4-1/2020	G
Japan/P4-3/2020	G
Japan/P4-7/2020	G
Japan/P5-3/2020	G
Italy/UniMI03/2020	G
Italy/FVG-ICGEB_S8/2020	G
Italy/INMI3/2020	G
Italy/INMI4/2020	G
Italy/FVG-ICGEB_S9/2020	G
Italy/INMI10/2020	G
Italy/INMI6/2020	G
Italy/INMI8/2020	G
Italy/INMI9/2020	G
Italy/INMI7/2020	G
Japan/SMU-0311S2/2020	G
Japan/SMU-0311S3/2020	G
Italy/UnivPM1/2020	G
Italy/INMI5/2020	G
Japan/P2-1/2020	G
Japan/P3-1/2020	G
Japan/P3-2/2020	G
Japan/P4-2/2020	G
Japan/P4-5/2020	G
Japan/P5-1/2020	G
Japan/P4-8/2020	G
Japan/P5-2/2020	G
Japan/P4-6/2020	G
India/772/2020	G
Italy/TE5166/2020	G
India/c31/2020	G
India/c32/2020	G
Israel/ISR_IT0320/2020	G
Italy/VR_20COV21-26/2020	G
Italy/VR_20COV21-37/2020	G
Japan/KY-V-029/2020	D
Japan/NA-20-05-1/2020	D
Japan/OS-20-07-1/2020	D
Japan/TY-WK-012/2020	D
Japan/TY-WK-501/2020	D
Japan/TY-WK-521/2020	D
Korea/KCDC2008/2020	D
Japan/UT-NCGM02/2020	D
Korea/KCDC2002/2020	D
Japan/Hu_DP_Kng_19-031/2020	D
Korea/KCDC2017/2020	D
Korea/KCDC2019/2020	D
Korea/BA-ACH_2604/2020	D
Korea/BA-ACH_2718/2020	D
Korea/BA-ACH_2719/2020	D
Korea/KCDC2016/2020	D
Israel/ISR_JP0320/2020	D
Japan/TK-20-31-3/2020	D
Japan/Hu_DP_Kng_19-027/2020	D
Italy/INMI1-cs/2020	D
Japan/Hu_DP_Kng_19-020/2020	D
Japan/Hu_Kng_19-437/2020	D
Italy/UniSR1/2020	G
Italy/TE4925/2020	G
Italy/TE5472/2020	G
Italy/TE5056/2020	G
Italy/TE6222/2020	G
Italy/TE5476/2020	G
Italy/TE5780/2020	G
Italy/TE6225/2020	G
India/1100/2020	D
India/1616/2020	D
India/1621/2020	D
India/1644/2020	D
Kuwait/KU12/2020	D
Kuwait/KU17/2020	D
India/1111/2020	D
India/1652/2020	D
India/1115/2020	D
Kuwait/KU18/2020	D
India/1104/2020	D
Kuwait/KU09/2020	D
India/1125/2020	D
Korea/KCDC2003/2020	D
Latvia/0002/2020	D
Japan/AI-I-004/2020	D
Italy/TE5052/2020	G
Italy/UniMI01/2020	G
India/1617/2020	D
Iran/HGRC-01-IPI-8206/2020	D
Kuwait/KU006/2020	other
Kuwait/KU005/2020	G
Italy/TE5512/2020	G
Italy/TE4959/2020	G
Kuwait/KU001/2020	other
Italy/TE4836/2020	G
Wuhan/IPBCAMS-WH-04/2019	D
Wuhan/IVDC-HB-01/2019	D
Wuhan/WIV04/2019	D
Wuhan/IVDC-HB-05/2019	D
Yunnan/IVDC-YN-003/2020	D
Wuhan/IPBCAMS-WH-01/2019	D
Wuhan/IPBCAMS-WH-03/2019	D
Wuhan/IVDC-HB-04/2020	D
Xinyu/JX122/2020	D
Xinyu/JX124/2020	D
Wuhan/WH01/2019	D
Wuhan/WH05/2020	D
Wuhan/WH03/2020	D
Zhejiang/WZ-02/2020	D
Wuhan/HBCDC-HB-02/2019	D
Wuhan/HBCDC-HB-03/2019	D
Wuhan/HBCDC-HB-03/2020	D
Wuhan/HBCDC-HB-04/2020	D
Wuhan/HBCDC-HB-02/2020	D
Wuhan/WIV06/2019	D
Wuhan/WHU01/2020	D
Wuhan/WHU02/2020	D
Wuhan/WIV02/2019	D
Zhejiang/WZ-01/2020	D
Wuhan/WIV05/2019	D
Wuhan/WIV07/2019	D
Wuhan/HBCDC-HB-06/2020	G
Wuhan/WH04/2020	D
Wuhan/HBCDC-HB-05/2020	D
Wuhan/IPBCAMS-WH-02/2019	D
Zhejiang/HZ103/2020	G
canine/HongKong/20-02756/2020	D
England/20142022504/2020	D
England/20139030004/2020	D
England/20138020604/2020	D
England/20144014004/2020	D
England/20138007104/2020	D
England/20139002004/2020	D
England/20139051304/2020	D
England/20139003004/2020	D
England/20139039504/2020	D
England/20146004504/2020	D
England/20139023804/2020	D
England/20144018704/2020	D
England/20144072804/2020	D
England/20146011804/2020	D
England/20138086904/2020	D
England/20144021504/2020	D
England/20142022104/2020	D
England/20144022904/2020	D
England/20138012204/2020	G
England/20142053804/2020	G
England/20139046704/2020	G
England/20138016904/2020	G
England/20139033404/2020	G
England/20140072504/2020	G
England/20144006904/2020	G
England/20144071604/2020	G
England/20138020704/2020	G
England/20139035504/2020	G
England/201380217/2020	G
England/20139016804/2020	G
England/20139027404/2020	G
England/20144049604/2020	G
England/20142018604/2020	G
England/20139060504/2020	G
England/20140069104/2020	G
England/20144007604/2020	G
England/20139057404/2020	G
England/20140038704/2020	G
England/20146008104/2020	G
England/20142060804/2020	G
England/20139007404/2020	G
England/20139020106/2020	G
England/20146005204/2020	G
England/20146005304/2020	G
England/20139009504/2020	G
England/20139048804/2020	G
England/20140007802/2020	G
England/20139024004/2020	G
England/20146006704/2020	G
England/20144014604/2020	G
England/20144023704/2020	G
England/20144037304/2020	G
England/20146006904/2020	G
England/20146019004/2020	G
England/20139045904/2020	G
England/20142002904/2020	G
England/20142023704/2020	G
England/201380283/2020	G
England/20144006704/2020	G
England/20139047804/2020	G
England/20140009404/2020	G
England/20142016704/2020	G
England/20146007404/2020	G
England/20144071004/2020	G
England/20146004804/2020	G
England/20146004904/2020	G
England/20140007202/2020	G
England/20144076304/2020	G
England/20142131604/2020	G
England/20142131704/2020	G
England/20142018004/2020	G
England/20138064204/2020	G
England/20144008304/2020	G
England/20144065604/2020	G
England/20139070204/2020	G
England/20144072604/2020	G
England/20139070704/2020	G
England/20140005304/2020	G
England/20144017704/2020	G
England/20138019704/2020	G
England/20139059004/2020	G
England/20139008304/2020	G
England/20140039004/2020	G
England/20140042004/2020	G
England/20138082704/2020	G
England/20139052004/2020	G
England/20139038104/2020	G
England/20142002004/2020	G
England/20138020504/2020	D
England/20139029304/2020	D
England/20139003404/2020	G
England/20144074704/2020	G
England/20146006604/2020	G
England/20144008004/2020	G
England/20139027304/2020	G
England/20139059904/2020	G
England/20140070404/2020	G
England/20146001004/2020	G
England/20144074804/2020	G
England/20144016004/2020	G
England/20140009802/2020	G
England/20142019504/2020	G
England/201380276/2020	D
England/20146005804/2020	D
England/20144076204/2020	G
England/20144071504/2020	D
England/20140071104/2020	G
England/20144074604/2020	G
England/20138008004/2020	D
England/20139000804/2020	D
England/20144063604/2020	D
England/20139002404/2020	D
England/20138008804/2020	D
England/20138019104/2020	G
England/20138025704/2020	G
England/20138016404/2020	D
England/20138063804/2020	G
England/20138027404/2020	G
England/20146009204/2020	D
England/20139046804/2020	G
England/20139026304/2020	D
England/20140006204/2020	D
England/20138018204/2020	D
England/20144071404/2020	D
England/20146005704/2020	D
England/20139024404/2020	D
England/20144035204/2020	D
England/20142060904/2020	G
England/20144064402/2020	D
England/20139004004/2020	G
England/20138017204/2020	G
England/20139000504/2020	G
England/20140072004/2020	D
England/20142012804/2020	G
England/20144003804/2020	D
England/20144075204/2020	G
England/20144066304/2020	G
England/20144074904/2020	G
England/20138020804/2020	G
England/20146018404/2020	G
England/20139010404/2020	D
England/20139043604/2020	G
England/20139027204/2020	G
England/20139023504/2020	D
England/20138008904/2020	D
England/20144074404/2020	G
England/20140003804/2020	G
England/20142019804/2020	G
England/20144010904/2020	D
England/20146001704/2020	D
Germany/BAV-V2011463/2020	D
France/GE1973/2020	G
Germany/BAV-V2010840/2020	G
France/N1620/2020	G
France/HF1684/2020	G
France/HF1995/2020	G
France/IDF1980/2020	G
Germany/BAV-V2011672/2020	G
Germany/BAV-V2011675/2020	G
Germany/BAV-V2011673/2020	G
France/PL1643/2020	G
France/HF1871/2020	G
France/HF1988/2020	G
Germany/BAV-V2010486/2020	G
Germany/BAV-V2010837/2020	G
Germany/BAV-V2012620/2020	G
Germany/BAV-V2010492/2020	G
Germany/BAV-V2011376/2020	G
Germany/BAV-V2012622/2020	G
France/HF1993/2020	G
France/HF2239/2020	G
France/HF2748/2020	G
France/BFC2147/2020	G
France/GE2720/2020	G
France/HF2196/2020	G
France/HF2151/2020	G
France/BFC2709/2020	G
France/IDF3235/2020	G
France/HF2039/2020	G
France/HF2234/2020	G
France/HF2381/2020	G
France/HF2586/2020	G
France/IDF2075/2020	G
France/IDF2989/2020	G
France/HF2174/2020	G
France/HF2597/2020	G
France/IDF3170/2020	G
France/HF2948/2020	G
France/GE2722/2020	G
France/IDF3230/2020	G
France/GE3067/2020	G
France/IDF2684/2020	G
France/IDF2279/2020	G
France/IDF2534/2020	G
France/IDF3276/2020	G
France/HF2797/2020	G
France/N2223/2020	G
France/IDF2256/2020	G
France/IDF2768/2020	G
France/IDF3324/2020	G
France/IDF3165/2020	G
France/IDF2848/2020	G
France/IDF2278/2020	G
France/HF2946/2020	G
France/IDF2849/2020	G
France/IDF3163/2020	G
France/IDF3218/2020	G
France/HF3138/2020	G
France/HF2237/2020	G
France/CVL2000/2020	G
France/IDF2536/2020	G
France/HF1645/2020	G
France/HF2150/2020	G
France/IDF2359/2020	G
France/HF2060/2020	G
France/HF2155/2020	G
France/HF1813/2020	G
France/HF2306/2020	G
France/IDF2548/2020	G
France/IDF2412/2020	G
France/IDF2414/2020	G
France/IDF3040/2020	G
France/HF1870/2020	G
France/IDF2284/2020	G
Georgia/Tb-1352/2020	G
France/HF1465/2020	G
Georgia/Tb-1679/2020	G
Georgia/Tb-273/2020	G
Georgia/Tb/2020	G
Georgia/Tb-673/2020	G
Georgia/Tb-712/2020	G
France/IDF2561/2020	G
France/IDF2792/2020	G
Germany/BAV-V2012612/2020	G
France/HF2595/2020	G
France/IDF3029/2020	G
France/GE1977/2020	G
France/GE2843/2020	G
France/HF3141/2020	G
France/CVL3365/2020	G
France/HF2405/2020	G
France/IDF2420/2020	G
France/IDF3236/2020	G
France/HF2393/2020	G
France/IDF2532/2020	G
France/HF3295/2020	G
France/IDF2410/2020	G
France/IDF2533/2020	G
France/IDF3345/2020	G
France/HF3290/2020	G
France/HF2496/2020	G
France/IDF3212/2020	G
France/HF3293/2020	G
France/HF3036/2020	G
France/HF1989/2020	G
France/HF2601/2020	G
France/HF1795/2020	G
France/IDF2936/2020	G
France/IDF3274/2020	G
France/IDF0372/2020	D
France/IDF0626/2020	D
France/IDF0373/2020	D
France/IDF0386-islP1/2020	D
Georgia/Tb-54/2020	D
Fujian/13/2020	D
Ganzhou/JX81/2020	D
Fujian/8/2020	D
Georgia/Tb-468/2020	D
France/IDF0515/2020	D
Fuyang/FY002/2020	D
Germany/BAV-V2011395/2020	D
France/GE1583/2020	D
Georgia/Tb-390/2020	D
Georgia/Tb-537/2020	D
France/Bourg-en-Bresse_06678/2020	G
France/Clermont-Ferrand_650/2020	G
France/Lyon_06056/2020	G
France/Lyon_06487/2020	G
France/Valence_532/2020	G
France/Lyon_06531/2020	G
France/Lyon_683/2020	G
France/Clermont-Ferrand_651/2020	G
France/Lyon_06625/2020	G
France/Lyon_06820/2020	G
France/Pollionay_1733/2020	G
France/Bourg-en-Bresse_06813/2020	G
France/Lyon_06464/2020	G
France/Macon_06756/2020	G
France/Lyon_0668/2020	G
France/Lyon_0693/2020	G
France/Lyon_508/2020	G
France/Lyon_487/2020	G
France/Lyon_06042/2020	G
France/Valence_425/2020	G
France/Lyon_06573/2020	D
France/RA739/2020	D
Georgia/Tb-477/2020	G
France/HF1986/2020	G
Georgia/Tb-82/2020	D
Georgia/Tb-1523/2020	D
England/SHEF-C045B/2020	G
England/SHEF-C0734/2020	G
England/SHEF-C07DA/2020	G
England/SHEF-C0637/2020	G
England/SHEF-C037C/2020	G
England/SHEF-C0400/2020	G
England/SHEF-C04B5/2020	G
England/SHEF-C08B9/2020	G
England/SHEF-C08C8/2020	G
England/SHEF-C05A3/2020	G
England/SHEF-C0619/2020	G
England/SHEF-C03B8/2020	G
England/SHEF-C03F4/2020	G
England/SHEF-C0479/2020	G
England/SHEF-C04D3/2020	G
England/SHEF-C05B2/2020	G
England/SHEF-C06FB/2020	G
England/SHEF-C051C/2020	G
England/SHEF-C0497/2020	D
England/SHEF-C04E2/2020	D
England/SHEF-C060A/2020	D
England/SHEF-C04F1/2020	D
England/SHEF-C0691/2020	D
England/SHEF-C088C/2020	D
England/SHEF-C0628/2020	D
France/B1623/2020	G
England/SHEF-C038B/2020	D
England/SHEF-C0576/2020	D
England/SHEF-C087D/2020	D
Finland/FIN-114/2020	G
France/BFC2094/2020	G
Finland/FIN-266/2020	G
Finland/FIN-313/2020	G
Finland/FIN03032020C/2020	G
Finland/FIN-508/2020	G
Finland/FIN-318/2020	G
Finland/FIN-455/2020	G
France/B2336/2020	G
France/B2337/2020	G
France/B2346/2020	G
France/B2343/2020	G
France/B2344/2020	G
France/B2349/2020	G
France/B2351/2020	G
France/B2330/2020	G
France/B2348/2020	G
France/B2335/2020	G
Finland/13M19/2020	G
Finland/13M26/2020	G
Finland/13M60/2020	G
Finland/14M12/2020	G
Finland/13M65/2020	G
Finland/13M58/2020	G
Finland/13M64/2020	G
Finland/14M16/2020	G
Finland/14M26/2020	G
Finland/13M27/2020	G
Finland/13M33/2020	G
Finland/13M57/2020	G
Finland/14M13/2020	G
Finland/14M77/2020	G
Finland/14M14/2020	G
Finland/FIN03032020A/2020	G
Finland/13M69/2020	G
Finland/FIN-274/2020	D
France/B2334/2020	D
France/B2340/2020	D
Finland/FIN01032020/2020	D
Finland/FIN03032020B/2020	D
England/Sheff01/2020	D
Foshan/20SF207/2020	D
Foshan/20SF210/2020	D
Foshan/20SF211/2020	D
Finland/13M77/2020	G
Finland/13M3/2020	G
Finland/13M29/2020	G
Finland/13M82/2020	G
Finland/14M74/2020	D
Finland/14M32/2020	G
Finland/14M82/2020	D
Finland/13M79/2020	D
Finland/13M83/2020	G
France/ARA094100/2020	G
France/ARA09434/2020	G
France/ARA10257/2020	G
France/ARA12996/2020	G
France/ARA12915/2020	G
France/ARA11943/2020	G
France/ARA12250/2020	G
France/ARA12384/2020	G
France/ARA13160/2020	G
France/ARA12485/2020	G
France/ARA10165/2020	G
France/ARA12576/2020	G
France/ARA12524/2020	G
France/ARA10163/2020	G
France/ARA12238/2020	G
France/ARA12264/2020	G
France/ARA13095/2020	G
France/ARA10170/2020	G
France/ARA10192/2020	G
France/ARA10552/2020	G
France/ARA12877/2020	G
France/ARA11980/2020	G
France/ARA11995/2020	G
France/ARA11939/2020	G
France/ARA12260/2020	G
France/ARA11949/2020	G
France/ARA12558/2020	G
France/ARA12759/2020	G
France/ARA10910/2020	G
France/ARA12499/2020	G
France/ARA12222/2020	G
France/ARA12253/2020	G
France/ARA12249/2020	G
France/ARA12388/2020	G
France/ARA12630/2020	G
France/ARA1322/2020	G
France/ARA12973/2020	G
France/ARA10251/2020	G
France/ARA12217/2020	G
France/ARA10282/2020	G
France/ARA12269/2020	G
France/ARA09428/2020	G
France/ARA1284/2020	G
France/ARA09451/2020	G
France/ARA10184/2020	G
France/ARA10188/2020	G
France/ARA10189/2020	G
France/ARA13074/2020	G
France/ARA12125/2020	G
France/ARA09686/2020	G
France/ARA11950/2020	G
France/ARA12270/2020	G
France/ARA10968/2020	G
France/ARA12632/2020	G
France/ARA09588/2020	G
France/ARA11952/2020	G
France/ARA11997/2020	G
France/ARA1307/2020	G
France/ARA12626/2020	G
France/ARA10876/2020	G
France/ARA12265/2020	G
France/ARA10172/2020	G
France/ARA11036/2020	D
France/ARA12371/2020	G
Finland/14M20/2020	D
Finland/FIN-25/2020	G
Finland/1/2020	D
Finland/14M3/2020	G
Netherlands/NA_9/2020	G
Netherlands/NoordBrabant_3/2020	G
Netherlands/NoordBrabant_14/2020	G
Netherlands/NoordBrabant_15/2020	G
Netherlands/NoordBrabant_2/2020	G
Netherlands/NoordBrabant_45/2020	G
Netherlands/NoordBrabant_58/2020	G
Netherlands/NoordHolland_1/2020	G
Netherlands/Overijssel_1/2020	G
Netherlands/Rotterdam_1364740/2020	G
Netherlands/Utrecht_10/2020	G
Netherlands/Utrecht_13/2020	G
Netherlands/Utrecht_4/2020	G
Netherlands/Utrecht_5/2020	G
Netherlands/Utrecht_7/2020	G
Netherlands/ZuidHolland_1/2020	G
Netherlands/ZuidHolland_10/2020	G
Netherlands/ZuidHolland_11/2020	G
Netherlands/Utrecht_1/2020	G
Netherlands/Utrecht_2/2020	G
Netherlands/Utrecht_14/2020	G
Netherlands/NoordBrabant_39/2020	G
Netherlands/Nootdorp_1364222/2020	G
Netherlands/Overijssel_2/2020	G
Netherlands/Tilburg_1364286/2020	G
Netherlands/ZuidHolland_13/2020	G
Netherlands/NoordBrabant_55/2020	G
Netherlands/NoordBrabant_1/2020	G
Netherlands/NoordBrabant_16/2020	G
Netherlands/Utrecht_11/2020	G
Netherlands/Utrecht_8/2020	G
Netherlands/Zeewolde_1365080/2020	G
Netherlands/NoordBrabant_59/2020	G
Netherlands/Utrecht_3/2020	G
Netherlands/NoordBrabant_13/2020	G
Netherlands/NoordHolland_3/2020	G
Netherlands/NoordBrabant_17/2020	G
Netherlands/NoordBrabant_4/2020	G
Netherlands/NA_90/2020	D
Netherlands/NA_91/2020	G
Netherlands/NoordBrabant_102/2020	G
Netherlands/ZuidHolland_100/2020	G
Netherlands/NA_93/2020	G
Netherlands/NoordBrabant_91/2020	G
Netherlands/NoordBrabant_100/2020	G
Netherlands/NoordBrabant_104/2020	G
Netherlands/NoordBrabant_105/2020	G
Netherlands/NoordBrabant_21/2020	G
Netherlands/NoordBrabant_74/2020	G
Netherlands/NoordBrabant_81/2020	G
Netherlands/NoordBrabant_85/2020	G
Netherlands/NoordBrabant_96/2020	G
Netherlands/NoordBrabant_98/2020	G
Netherlands/NoordBrabant_103/2020	G
Netherlands/ZuidHolland_101/2020	G
Netherlands/NoordBrabant_101/2020	G
Netherlands/ZuidHolland_17/2020	G
Netherlands/NoordBrabant_70/2020	G
Netherlands/NoordBrabant_71/2020	G
Netherlands/Utrecht_20/2020	G
Netherlands/NoordBrabant_86/2020	G
Netherlands/NA_96/2020	G
Netherlands/NA_99/2020	G
Netherlands/ZuidHolland_104/2020	G
Netherlands/NoordHolland_4/2020	G
Netherlands/NoordHolland_5/2020	G
Netherlands/NA_92/2020	G
Netherlands/Utrecht_21/2020	G
Netherlands/ZuidHolland_14/2020	G
Netherlands/ZuidHolland_22/2020	G
Netherlands/NoordBrabant_26/2020	G
Netherlands/ZuidHolland_102/2020	G
Netherlands/NA_94/2020	G
Netherlands/Utrecht_15/2020	G
Netherlands/ZuidHolland_2/2020	G
Netherlands/NoordBrabant_36/2020	G
Netherlands/ZuidHolland_15/2020	G
Netherlands/ZuidHolland_19/2020	G
Netherlands/ZuidHolland_20/2020	G
Netherlands/ZuidHolland_18/2020	G
